[Train] Epoch 0000 | Total Loss 4.831828 | Image Acc 1.073171 | Text Acc 1.048780
[Train] Epoch 0001 | Total Loss 4.809377 | Image Acc 1.048780 | Text Acc 1.365854
[Train] Epoch 0002 | Total Loss 4.815929 | Image Acc 1.317073 | Text Acc 1.731707
[Train] Epoch 0003 | Total Loss 4.816184 | Image Acc 1.024390 | Text Acc 1.048780
[Train] Epoch 0004 | Total Loss 4.815593 | Image Acc 1.024390 | Text Acc 1.024390
[Train] Epoch 0005 | Total Loss 4.815018 | Image Acc 1.000000 | Text Acc 1.097561
[Train] Epoch 0006 | Total Loss 4.796776 | Image Acc 1.048780 | Text Acc 1.390244
[Train] Epoch 0007 | Total Loss 4.693021 | Image Acc 1.780488 | Text Acc 1.658537
[Train] Epoch 0008 | Total Loss 4.374133 | Image Acc 2.609756 | Text Acc 2.414634
[Train] Epoch 0009 | Total Loss 4.127105 | Image Acc 3.341463 | Text Acc 3.365854
[Train] Epoch 0010 | Total Loss 3.874402 | Image Acc 5.975610 | Text Acc 5.317073
[Train] Epoch 0011 | Total Loss 3.571085 | Image Acc 7.731707 | Text Acc 8.414634
[Train] Epoch 0012 | Total Loss 3.273398 | Image Acc 10.975610 | Text Acc 11.878049
[Train] Epoch 0013 | Total Loss 2.963456 | Image Acc 14.487805 | Text Acc 16.634146
[Train] Epoch 0014 | Total Loss 2.720167 | Image Acc 18.146341 | Text Acc 19.536585
[Train] Epoch 0015 | Total Loss 2.476389 | Image Acc 22.073171 | Text Acc 22.731707
[Train] Epoch 0016 | Total Loss 2.319234 | Image Acc 25.146341 | Text Acc 25.804878
[Train] Epoch 0017 | Total Loss 2.238804 | Image Acc 27.146341 | Text Acc 27.512195
[Train] Epoch 0018 | Total Loss 2.076062 | Image Acc 29.439024 | Text Acc 30.804878
[Train] Epoch 0019 | Total Loss 2.025244 | Image Acc 30.682927 | Text Acc 31.634146
[Train] Epoch 0020 | Total Loss 2.002176 | Image Acc 30.902439 | Text Acc 32.170732
[Train] Epoch 0021 | Total Loss 1.978620 | Image Acc 31.268293 | Text Acc 32.097561
[Train] Epoch 0022 | Total Loss 1.927026 | Image Acc 32.365854 | Text Acc 32.853659
[Train] Epoch 0023 | Total Loss 1.873641 | Image Acc 33.414634 | Text Acc 33.975610
[Train] Epoch 0024 | Total Loss 1.852107 | Image Acc 33.439024 | Text Acc 34.146341
[Train] Epoch 0025 | Total Loss 1.836282 | Image Acc 33.975610 | Text Acc 34.146341
[Train] Epoch 0026 | Total Loss 1.829952 | Image Acc 34.317073 | Text Acc 34.560976
[Train] Epoch 0027 | Total Loss 1.801762 | Image Acc 35.146341 | Text Acc 35.365854
[Train] Epoch 0028 | Total Loss 1.791747 | Image Acc 34.609756 | Text Acc 34.780488
[Train] Epoch 0029 | Total Loss 1.774345 | Image Acc 35.073171 | Text Acc 35.317073
[Train] Epoch 0030 | Total Loss 1.819610 | Image Acc 34.658537 | Text Acc 34.975610
[Train] Epoch 0031 | Total Loss 1.795190 | Image Acc 34.658537 | Text Acc 35.121951
[Train] Epoch 0032 | Total Loss 1.781516 | Image Acc 35.317073 | Text Acc 35.609756
[Train] Epoch 0033 | Total Loss 1.784292 | Image Acc 35.073171 | Text Acc 35.243902
[Train] Epoch 0034 | Total Loss 1.774597 | Image Acc 35.292683 | Text Acc 35.365854
[Train] Epoch 0035 | Total Loss 1.756541 | Image Acc 35.243902 | Text Acc 35.512195
[Train] Epoch 0036 | Total Loss 1.755718 | Image Acc 35.317073 | Text Acc 35.365854
[Train] Epoch 0037 | Total Loss 1.748642 | Image Acc 35.195122 | Text Acc 35.219512
[Train] Epoch 0038 | Total Loss 1.748325 | Image Acc 35.317073 | Text Acc 35.560976
[Train] Epoch 0039 | Total Loss 1.811452 | Image Acc 34.536585 | Text Acc 35.121951
[Train] Epoch 0040 | Total Loss 1.795636 | Image Acc 34.951220 | Text Acc 35.512195
[Train] Epoch 0041 | Total Loss 1.825403 | Image Acc 34.268293 | Text Acc 34.951220
[Train] Epoch 0042 | Total Loss 1.788177 | Image Acc 35.414634 | Text Acc 35.926829
[Train] Epoch 0043 | Total Loss 1.809115 | Image Acc 34.707317 | Text Acc 35.146341
