[Train] Epoch 0000 | Total Loss 4.309546 | Image Acc 4.365854 | Text Acc 4.243902
[Train] Epoch 0001 | Total Loss 3.420931 | Image Acc 10.658537 | Text Acc 11.487805
[Train] Epoch 0002 | Total Loss 2.834574 | Image Acc 18.024390 | Text Acc 17.902439
[Train] Epoch 0003 | Total Loss 2.457098 | Image Acc 24.243902 | Text Acc 23.292683
[Train] Epoch 0004 | Total Loss 2.259644 | Image Acc 26.756098 | Text Acc 27.341463
[Train] Epoch 0005 | Total Loss 2.134531 | Image Acc 29.365854 | Text Acc 29.585366
[Train] Epoch 0006 | Total Loss 2.021687 | Image Acc 31.585366 | Text Acc 31.609756
[Train] Epoch 0007 | Total Loss 1.996199 | Image Acc 32.560976 | Text Acc 32.219512
[Train] Epoch 0008 | Total Loss 1.957936 | Image Acc 33.268293 | Text Acc 32.658537
[Train] Epoch 0009 | Total Loss 1.940241 | Image Acc 32.682927 | Text Acc 33.219512
[Train] Epoch 0010 | Total Loss 1.885279 | Image Acc 34.097561 | Text Acc 34.170732
[Train] Epoch 0011 | Total Loss 1.863675 | Image Acc 34.926829 | Text Acc 34.878049
[Train] Epoch 0012 | Total Loss 1.867274 | Image Acc 34.268293 | Text Acc 34.658537
[Train] Epoch 0013 | Total Loss 1.867336 | Image Acc 33.951220 | Text Acc 34.268293
[Train] Epoch 0014 | Total Loss 1.833243 | Image Acc 34.268293 | Text Acc 34.487805
[Train] Epoch 0015 | Total Loss 1.812714 | Image Acc 34.731707 | Text Acc 35.024390
[Train] Epoch 0016 | Total Loss 1.811473 | Image Acc 34.853659 | Text Acc 34.853659
[Train] Epoch 0017 | Total Loss 1.828106 | Image Acc 34.756098 | Text Acc 34.902439
[Train] Epoch 0018 | Total Loss 1.809130 | Image Acc 34.609756 | Text Acc 34.926829
[Train] Epoch 0019 | Total Loss 1.807623 | Image Acc 35.219512 | Text Acc 35.170732
[Train] Epoch 0020 | Total Loss 1.780592 | Image Acc 35.463415 | Text Acc 35.536585
[Train] Epoch 0021 | Total Loss 1.799250 | Image Acc 35.243902 | Text Acc 35.536585
[Train] Epoch 0022 | Total Loss 1.785263 | Image Acc 34.902439 | Text Acc 34.853659
[Train] Epoch 0023 | Total Loss 1.769362 | Image Acc 35.219512 | Text Acc 35.414634
[Train] Epoch 0024 | Total Loss 1.774093 | Image Acc 35.048780 | Text Acc 35.487805
[Train] Epoch 0025 | Total Loss 1.778177 | Image Acc 35.341463 | Text Acc 35.487805
[Train] Epoch 0026 | Total Loss 1.761384 | Image Acc 35.536585 | Text Acc 35.682927
[Train] Epoch 0027 | Total Loss 1.764996 | Image Acc 35.121951 | Text Acc 35.048780
[Train] Epoch 0028 | Total Loss 1.774559 | Image Acc 35.073171 | Text Acc 35.219512
[Train] Epoch 0029 | Total Loss 1.762913 | Image Acc 35.121951 | Text Acc 35.195122
[Train] Epoch 0030 | Total Loss 1.792463 | Image Acc 34.804878 | Text Acc 34.829268
[Train] Epoch 0031 | Total Loss 1.768103 | Image Acc 35.000000 | Text Acc 35.024390
[Train] Epoch 0032 | Total Loss 1.747064 | Image Acc 35.682927 | Text Acc 35.780488
[Train] Epoch 0033 | Total Loss 1.762505 | Image Acc 34.853659 | Text Acc 35.024390
[Train] Epoch 0034 | Total Loss 1.752872 | Image Acc 35.585366 | Text Acc 35.512195
[Train] Epoch 0035 | Total Loss 1.750998 | Image Acc 35.243902 | Text Acc 35.365854
[Train] Epoch 0036 | Total Loss 1.751404 | Image Acc 35.268293 | Text Acc 35.365854
[Train] Epoch 0037 | Total Loss 1.743091 | Image Acc 35.585366 | Text Acc 35.585366
[Train] Epoch 0038 | Total Loss 1.740923 | Image Acc 35.341463 | Text Acc 35.390244
[Train] Epoch 0039 | Total Loss 1.749976 | Image Acc 34.829268 | Text Acc 35.121951
[Train] Epoch 0040 | Total Loss 1.741680 | Image Acc 35.682927 | Text Acc 35.804878
[Train] Epoch 0041 | Total Loss 1.731343 | Image Acc 35.243902 | Text Acc 35.268293
[Train] Epoch 0042 | Total Loss 1.732582 | Image Acc 35.317073 | Text Acc 35.365854
[Train] Epoch 0043 | Total Loss 1.738572 | Image Acc 35.292683 | Text Acc 35.341463
[Train] Epoch 0044 | Total Loss 1.737968 | Image Acc 35.414634 | Text Acc 35.390244
[Train] Epoch 0045 | Total Loss 1.733326 | Image Acc 35.390244 | Text Acc 35.439024
[Train] Epoch 0046 | Total Loss 1.739148 | Image Acc 35.439024 | Text Acc 35.512195
[Train] Epoch 0047 | Total Loss 1.730078 | Image Acc 35.585366 | Text Acc 35.585366
[Train] Epoch 0048 | Total Loss 1.738478 | Image Acc 35.512195 | Text Acc 35.731707
[Train] Epoch 0049 | Total Loss 1.738223 | Image Acc 35.365854 | Text Acc 35.365854
[Train] Epoch 0050 | Total Loss 1.732472 | Image Acc 35.463415 | Text Acc 35.585366
[Train] Epoch 0051 | Total Loss 1.735809 | Image Acc 35.365854 | Text Acc 35.341463
[Train] Epoch 0052 | Total Loss 1.719971 | Image Acc 35.756098 | Text Acc 35.804878
[Train] Epoch 0053 | Total Loss 1.719489 | Image Acc 35.780488 | Text Acc 35.707317
[Train] Epoch 0054 | Total Loss 1.732488 | Image Acc 35.731707 | Text Acc 35.878049
[Train] Epoch 0055 | Total Loss 1.727047 | Image Acc 35.756098 | Text Acc 35.780488
[Train] Epoch 0056 | Total Loss 1.724887 | Image Acc 35.658537 | Text Acc 35.756098
[Train] Epoch 0057 | Total Loss 1.724509 | Image Acc 35.829268 | Text Acc 35.853659
[Train] Epoch 0058 | Total Loss 1.733731 | Image Acc 35.585366 | Text Acc 35.707317
[Train] Epoch 0059 | Total Loss 1.722878 | Image Acc 35.878049 | Text Acc 35.975610
[Train] Epoch 0060 | Total Loss 1.724215 | Image Acc 35.439024 | Text Acc 35.487805
[Train] Epoch 0061 | Total Loss 1.717576 | Image Acc 35.512195 | Text Acc 35.609756
[Train] Epoch 0062 | Total Loss 1.709253 | Image Acc 35.951220 | Text Acc 36.000000
[Train] Epoch 0063 | Total Loss 1.723078 | Image Acc 35.243902 | Text Acc 35.390244
[Train] Epoch 0064 | Total Loss 1.730494 | Image Acc 35.317073 | Text Acc 35.317073
[Train] Epoch 0065 | Total Loss 1.714403 | Image Acc 36.024390 | Text Acc 36.073171
[Train] Epoch 0066 | Total Loss 1.724508 | Image Acc 35.585366 | Text Acc 35.756098
[Train] Epoch 0067 | Total Loss 1.733256 | Image Acc 35.170732 | Text Acc 35.219512
[Train] Epoch 0068 | Total Loss 1.705907 | Image Acc 36.146341 | Text Acc 36.195122
